Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.uv.cpg.anthrax.json	55538	-	0	0	0	0	0	0	10	259	0	0	0	0	0	0	0	2	0	0	345	333	0	0	0	14	0	1
fsh-generated/resources/ActivityDefinition-CiprofloxacinRequest.json	6824	4	1	0	0	1	0	0	1	145	0	0	0	0	0	0	0	0	0	0	55	29	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-ClindamycinRequest.json	6282	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	55	21	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-DoxycyclineRequest.json	6615	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	56	20	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-LevofloxacinRequest.json	6266	2	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	51	20	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-MoxifloxacinRequest.json	6274	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	52	19	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-VaccineRequest.json	6281	4	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	1	50	21	0	0	0	1	0	0
fsh-generated/resources/AllergyIntolerance-allergy-1.json	794	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergy-10.json	773	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergy-11.json	765	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergy-12.json	760	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergy-13.json	759	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergy-14.json	797	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	15	10	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergy-2.json	764	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergy-3.json	772	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergy-4.json	759	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergy-5.json	768	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergy-6.json	771	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergy-7.json	772	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergy-8.json	758	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergy-9.json	842	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-1.json	470	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-10.json	3998	2	0	0	0	0	10	0	1	9	0	0	0	0	0	0	0	0	0	0	23	29	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-11.json	4004	2	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	28	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-12.json	3996	3	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	26	25	0	0	0	0	0	1
fsh-generated/resources/Bundle-bundle-13.json	5109	3	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	1	0	0	26	33	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-14.json	4080	3	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	27	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-15.json	7280	3	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	35	42	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-16.json	1554	3	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-17.json	1169	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-18.json	471	3	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-19.json	3584	3	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0	0	0	0	19	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-2.json	470	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-20.json	3633	3	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	18	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-21.json	3937	3	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	20	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-22.json	3855	3	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	20	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-23.json	3864	3	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	20	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-24.json	1138	3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-25.json	1554	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-26.json	1169	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-27.json	4032	3	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	21	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-28.json	4010	3	0	0	0	0	2	0	1	4	0	0	0	0	0	0	0	0	0	0	21	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-29.json	3999	3	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	20	15	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-3.json	4203	3	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	22	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-30.json	4002	3	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	23	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-31.json	2923	3	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-32.json	2917	3	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-33.json	3934	3	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	19	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-34.json	3862	3	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	20	9	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-35.json	2254	3	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-36.json	4832	3	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	25	12	0	0	0	0	0	1
fsh-generated/resources/Bundle-bundle-37.json	4830	3	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	24	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-38.json	4206	3	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	21	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-39.json	4206	3	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	31	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-4.json	4827	3	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	33	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-40.json	3541	3	1	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	25	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-41.json	5452	3	0	0	0	0	2	0	1	6	0	0	0	0	0	0	0	0	0	0	37	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-42.json	5411	3	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	37	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-44.json	3586	3	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	25	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-45.json	471	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-46.json	4169	3	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	25	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-47.json	4122	3	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	1	0	21	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-48.json	4830	3	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	23	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-49.json	3543	3	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-5.json	4207	3	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	21	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-50.json	4488	3	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	24	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-51.json	2919	3	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	17	8	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-52.json	3864	3	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	20	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-53.json	2845	3	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-54.json	3788	3	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	24	9	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-55.json	4165	3	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	23	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-56.json	5114	3	1	0	0	0	2	0	1	5	0	0	0	0	0	0	0	1	0	0	37	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-57.json	3586	3	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	19	9	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-58.json	4529	3	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	30	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-59.json	3510	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	41	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-6.json	4205	3	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	32	10	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-60.json	4453	1	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	28	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-61.json	4830	2	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	26	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-62.json	5779	2	0	0	0	0	2	0	1	7	0	0	0	0	0	0	0	0	0	0	27	13	0	0	0	0	0	0
